##########
#Run Name                    = 'example2'
#Number of spin dimensions   = 1
#Number of space dimensions  = 2
#Sidelenth of lattice        = 500
#Random Spins                = False
#Update Algorith             = Metropolis
#Beta Start                  = 1.000000e+00
#Beta End                    = 4.000000e+00
#Beta Step                   = 4.000000e+00
#Max Settle Iterations       = 25000
#Random Seed                 = 0
##########
#Beta        <m>          <E>         
1.000000e+00 9.019840e-01 3.253888e+00
1.001000e+00 8.098080e-01 2.621984e+00
1.002000e+00 7.222720e-01 2.077440e+00
1.003000e+00 6.402960e-01 1.610496e+00
1.004000e+00 5.653200e-01 1.211424e+00
1.005000e+00 4.968400e-01 8.759680e-01
1.006000e+00 4.355120e-01 5.915200e-01
1.007000e+00 3.806160e-01 3.460480e-01
1.008000e+00 3.306240e-01 1.302080e-01
1.009000e+00 2.874080e-01 -5.065600e-02
1.010000e+00 2.486960e-01 -2.112000e-01
1.011000e+00 2.153280e-01 -3.503040e-01
1.012000e+00 1.860800e-01 -4.764800e-01
1.013000e+00 1.589280e-01 -5.916800e-01
1.014000e+00 1.359280e-01 -6.932160e-01
1.015000e+00 1.171280e-01 -7.875200e-01
1.016000e+00 1.009600e-01 -8.700160e-01
1.017000e+00 8.686400e-02 -9.450880e-01
1.018000e+00 7.479200e-02 -1.018560e+00
1.019000e+00 6.422400e-02 -1.085568e+00
1.020000e+00 5.486400e-02 -1.146560e+00
1.021000e+00 4.748000e-02 -1.207776e+00
1.022000e+00 4.064800e-02 -1.262400e+00
1.023000e+00 3.511200e-02 -1.316064e+00
1.024000e+00 3.040800e-02 -1.364000e+00
1.025000e+00 2.668000e-02 -1.408160e+00
1.026000e+00 2.364000e-02 -1.456160e+00
1.027000e+00 2.056800e-02 -1.500608e+00
1.028000e+00 1.837600e-02 -1.544000e+00
1.029000e+00 1.637600e-02 -1.584960e+00
1.030000e+00 1.394400e-02 -1.624736e+00
1.031000e+00 1.160000e-02 -1.661088e+00
1.032000e+00 1.004000e-02 -1.698048e+00
1.033000e+00 8.464000e-03 -1.733088e+00
1.034000e+00 7.408000e-03 -1.768416e+00
1.035000e+00 6.360000e-03 -1.801728e+00
1.036000e+00 5.296000e-03 -1.830304e+00
1.037000e+00 4.800000e-03 -1.858176e+00
1.038000e+00 3.792000e-03 -1.888608e+00
1.039000e+00 3.816000e-03 -1.918976e+00
1.040000e+00 3.552000e-03 -1.946976e+00
1.041000e+00 1.872000e-03 -1.973312e+00
1.042000e+00 2.096000e-03 -2.001280e+00
1.043000e+00 1.800000e-03 -2.025792e+00
1.044000e+00 1.096000e-03 -2.049440e+00
1.045000e+00 1.872000e-03 -2.072864e+00
1.046000e+00 1.600000e-03 -2.096288e+00
1.047000e+00 1.752000e-03 -2.118496e+00
1.048000e+00 2.216000e-03 -2.141184e+00
1.049000e+00 2.168000e-03 -2.163168e+00
1.050000e+00 2.544000e-03 -2.184416e+00
1.051000e+00 2.272000e-03 -2.204160e+00
1.052000e+00 2.304000e-03 -2.223520e+00
1.053000e+00 2.088000e-03 -2.242112e+00
1.054000e+00 1.376000e-03 -2.261376e+00
1.055000e+00 1.568000e-03 -2.279008e+00
1.056000e+00 1.944000e-03 -2.298176e+00
